IP:PORT, LOSS, DELAY
162.159.195.168:1180,0.00%,219 ms
188.114.96.53:1180,0.00%,222 ms
188.114.96.237:987,0.00%,222 ms
188.114.96.40:987,0.00%,222 ms
188.114.96.237:1180,0.00%,222 ms
188.114.97.201:1180,0.00%,223 ms
188.114.97.195:1180,0.00%,224 ms
188.114.99.29:987,0.00%,224 ms
188.114.99.9:987,0.00%,225 ms
188.114.99.227:1180,0.00%,226 ms
162.159.195.97:987,0.00%,232 ms
162.159.195.232:987,0.00%,241 ms
162.159.192.114:1180,0.00%,243 ms
188.114.96.112:1180,0.00%,256 ms
162.159.195.168:987,0.00%,259 ms
188.114.98.123:987,0.00%,284 ms
188.114.98.16:1180,0.00%,292 ms
188.114.99.134:1180,0.00%,296 ms
188.114.96.112:987,0.00%,333 ms
162.159.192.187:1180,0.00%,334 ms
162.159.195.51:1180,0.00%,344 ms
188.114.98.16:987,0.00%,347 ms
162.159.195.51:987,0.00%,358 ms
162.159.192.187:987,0.00%,388 ms
188.114.96.168:1180,0.00%,393 ms
188.114.96.55:987,0.00%,412 ms
188.114.97.226:1180,0.00%,438 ms
188.114.97.224:987,0.00%,440 ms
188.114.99.151:987,0.00%,456 ms
188.114.96.168:987,0.00%,473 ms
188.114.97.121:1180,0.00%,502 ms
188.114.97.55:1180,0.00%,510 ms
188.114.97.233:987,0.00%,518 ms
188.114.99.161:1180,0.00%,527 ms
188.114.96.184:1180,0.00%,528 ms
188.114.98.166:987,0.00%,553 ms
188.114.97.121:987,0.00%,568 ms
188.114.97.226:987,0.00%,568 ms
188.114.97.55:987,0.00%,579 ms
188.114.98.24:987,0.00%,582 ms
188.114.96.184:987,0.00%,599 ms
162.159.195.220:987,0.00%,622 ms
188.114.97.129:1180,0.00%,623 ms
162.159.192.235:987,0.00%,624 ms
188.114.98.161:987,0.00%,625 ms
188.114.97.87:1180,0.00%,633 ms
162.159.192.84:1180,0.00%,634 ms
188.114.97.232:1180,0.00%,639 ms
188.114.98.29:1180,0.00%,646 ms
188.114.99.170:1180,0.00%,650 ms
188.114.96.194:1180,0.00%,656 ms
162.159.195.226:1180,0.00%,678 ms
188.114.97.129:987,0.00%,691 ms
188.114.98.123:1180,0.00%,701 ms
188.114.97.232:987,0.00%,704 ms
188.114.99.170:987,0.00%,704 ms
188.114.98.162:1180,0.00%,706 ms
188.114.97.233:1180,0.00%,710 ms
188.114.96.245:1180,0.00%,710 ms
188.114.96.53:987,0.00%,710 ms
188.114.97.87:987,0.00%,712 ms
188.114.97.224:1180,0.00%,717 ms
188.114.98.36:987,0.00%,717 ms
188.114.96.208:1180,0.00%,718 ms
188.114.96.55:1180,0.00%,718 ms
188.114.96.208:987,0.00%,718 ms
188.114.98.57:987,0.00%,719 ms
188.114.98.7:987,0.00%,719 ms
188.114.96.234:1180,0.00%,720 ms
188.114.99.175:1180,0.00%,720 ms
188.114.97.201:987,0.00%,720 ms
188.114.96.228:987,0.00%,720 ms
188.114.96.219:987,0.00%,721 ms
188.114.96.194:987,0.00%,721 ms
188.114.98.29:987,0.00%,722 ms
188.114.98.197:1180,0.00%,722 ms
188.114.96.234:987,0.00%,723 ms
188.114.96.245:987,0.00%,723 ms
188.114.99.175:987,0.00%,724 ms
